station_name,avg_temp,rainfall,wind_speed,air_pressure
Moradabad,24.46618098,3.125460123,9.56648773,1008.55092
Mormugao,27.72610344,12.32961555,14.13019991,1009.393093
Mount Abu,20.79858966,2.801880457,8.50967092,1009.718536
Mukteshwar Kumaon,14.73648096,4.981530104,4.886635326,1012.143049
Muzaffarpur,24.63391538,3.558495635,9.613028878,1008.080524
Mysore,24.34822028,3.263709677,11.01779718,1012.380927
Nagappattinam,28.84271003,7.239259259,12.99395161,1008.821237
Nagpur Mayo Hospital,27.01715447,5.487763713,5.996065874,1009.520888
Nagpur Sonegaon,27.01715447,5.487763713,5.996065874,1009.520888
Nainital,15.90725319,4.749093351,5.826863667,1011.425856
Najibabad,22.33203492,3.216991269,8.288582942,1008.749765
Nalgonda,28.49501534,3.071472393,9.171088957,1008.608129
Naliya,26.14899851,2.892095588,13.66024177,1008.979785
Nancowry,27.57592468,6.599731002,17.99764627,1009.832145
Nanded,26.76937542,2.962323707,8.894895903,1009.152921
Nandigama,28.23604294,3.496165644,8.938266871,1008.37408
Nandyal,28.12081934,3.051175285,8.949832102,1008.784285
Narnaul,24.24351914,1.59919409,9.004365346,1008.839087
Narsapur,27.54486196,3.936273006,11.9809816,1008.561426
Narsinghpur,25.24768301,3.547078576,9.036803224,1009.00994
Nasik,24.56765819,2.612491605,9.280188046,1009.834117
Nasik Ozar,25.58869659,2.597649429,12.31846877,1010.393889
Nautanwa,23.64718398,5.080265849,7.860033375,1009.150688
Nellore,29.33982661,5.338728606,9.031296172,1008.644929
New Delhi / Palam,25.28960476,4.052402746,8.190597564,1009.179878
New Delhi / Safdarjung,25.31077423,4.672025172,6.372274143,1008.516437
New Kandla,26.97817327,1.830490262,19.14398925,1008.885292
Nilambur,27.73664122,8.797244624,7.485307082,1009.275497
Nizamabad,28.44651726,5.140410959,7.18952317,1008.749496
North Lakhimpur,24.68894908,11.77578797,5.645735393,1009.335124
Nowgong,25.04828744,2.915849563,8.556749496,1008.555608
Okha,26.68670848,3.544679634,17.35171256,1009.349429
Ondal / And?l,25.62765101,3.986107383,8.111342282,1008.593154
Ongole,28.34761585,3.207588986,10.183546,1008.694963
Orai,25.28522498,2.863532572,9.001007388,1008.249161
Pachmarhi,21.66615178,4.154533244,8.510879785,1010.121827
Palakkad,26.85416667,5.623252688,13.75900538,1009.966398
Palayankottai,28.25588433,3.602017485,10.52239408,1009.251917
